"ufc_no.","title","date","PPV"
"UFC 229","Khabib vs. McGregor","2018.10.06","2,400,000"
"UFC 202","Diaz vs. McGregor 2","2016.08.20","1,600,000"
"UFC 196","McGregor vs. Diaz","2016.03.05","1,317,000"
"UFC 205","Alvarez vs. McGregor","2016.11.12"1,300,000
"UFC 100","UFC_100","2009.07.11","1,300,000"
"UFC 194","Aldo vs. McGregor","2015.12.12","1,200,000"
"UFC 116","Lesnar vs Carwin","2010.07.03","1,160,000"
"UFC 193","Rousey vs. Holm","2015.11.14","1,100,000"
"UFC 207","Nunes vs. Rousey","2016.12.30","1,100,000"
"UFC 66","Liddell vs. Ortiz 2","2006.12.30","1,050,000"
"UFC 121","Lesnar vs. Velasquez","2010.10.23","1,050,000"
"UFC 92","The Ultimate 2008","2008.12.27","1,050,000"
"UFC 114","Jackson vs Evans","2010.05.29","1,050,000"
"UFC 168","Weidman vs. Silva 2","2013.12.28","1,025,000"
"UFC 91","Couture vs Lesnar","2008.11.15","1,010,000"
"UFC 200","Tate vs. Nunes","2016.07.09","1,009,000"
"UFC 158","St. Pierre vs. Diaz","2013.03.16","950,000"
"UFC 148","Silva vs. Sonnen 2","2012.07.07","925,000"
"UFC 94","St-Pierre vs. Penn 2","2009.01.31","920,000"
"UFC 190","Rousey vs. Correia","2015.08.01","900,000"
"UFC 217","Bisping vs. St. Pierre","2017.11.04","875,000"
"UFC 214","Cormier vs. Jones 2","2017.07.29","860,000"
"UFC 101","Declaration","2009.08.08","850,000"
"UFC 189","Mendes vs. McGregor","2015.07.11","825,000"
"UFC 182","Jones vs. Cormier","2015.01.03","800,000"
"UFC 129","St. Pierre vs. Shields","2011.04.30","800,000"
"UFC 124","St. Pierre vs. Koscheck 2","2010.12.11","785,000"
"UFC 61","Bitter Rivals","2006.07.08","775,000"
"UFC 111","St-Pierre vs Hardy","2010.03.27","770,000"
"UFC 141","Lesnar vs. Overeem","2011.12.30","750,000"
"UFC 126","Silva vs. Belfort",","2011.02.05","725,000"
"UFC 154","St. Pierre vs. Condit","2012.11.17","700,000"
"UFC 145","Jones vs. Evans","2012.04.21","700,000"
"UFC 79","Nemesis","2007.12.29","700,000"
"UFC 71","Liddell vs Jackson","2007.05.26","675,000"
"UFC 81","Breaking Point","2008.02.02","650,000"
"UFC 183","Silva vs. Diaz","2015.01.31","650,000"
"UFC 97","Redemption","2009.04.18","650,000"
"UFC 98","Evans vs. Machida","2009.05.23","635,000"
"UFC 167","St. Pierre vs. Hendricks","2013.11.16","630,000"
"UFC 87","Seek and Destroy","2008.08.09","625,000"
"UFC 107","Penn vs. Sanchez","2009.12.12","620,000"
"UFC 60",","Hughes vs Gracie","2006.05.27","620,000"
"UFC 117","Silva vs Sonnen","2010.08.07","600,000"
"UFC 155","Dos Santos vs. Velasquez 2","2012.12.29","590,000"
"UFC 184","Rousey vs. Zingano","2015.02.28","590,000"
"UFC 146","Dos Santos vs. Mir","2012.05.26","560,000"
"UFC 162","Silva vs. Weidman","2013.07.06","550,000"
"UFC 86","Jackson vs. Griffin","2008.07.05","540,000"
"UFC 68","Uprising","2007.03.03","540,000"
