No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
1,CALF CONSTRUCTION TURNKEY,Carlow,"River Court, Carlow ",10,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
2,CAS CONSTRUCTION,Carlow,"Mill Race Court, Carlow Town",14,Cluid Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
3,CAS CONSTRUCTION,Carlow,"Royal Oak Rd., Bagenalstown",6,Respond!  ,,Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
4,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Carlow Voluntary Housing Association ,,,,,,Q4 2016
5,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,*N/A,,,Stage 3 approved in Q3 2016 scheme now being tendered,,,
6,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
7,SHIP CONSTRUCTION,Carlow,"St Patrick?s Park, Tullow",14,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
8,SHIP CONSTRUCTION,Carlow,Hackettstown,4,*N/A,,,,,Q1 2017,
9,SHIP CONSTRUCTION,Carlow,"Royal Oak Road, Bagenalstown  ",24,*N/A,,,,,Q3 2016,
10,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,*N/A,,,,,Q1 2017,
11,SHIP CONSTRUCTION,Carlow,Rural Cottages @ÿ Rathvilly & Tullow,2,*N/A,,,,,Q3 2016,
12,SHIP CONSTRUCTION,Carlow,Rathvilly,10,*N/A,,,,,Q3 2016,
13,SHIP CONSTRUCTION,Carlow,Myshall,4,*N/A,,,,,Q1 2017,
14,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,*N/A,,,,,,Q1 2017
