No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 1",24,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 2",16,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow - Phase 3",23,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Carlow,"Ard na Greine, Tullow",16,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,"Dublin Road, Tullow",21,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,Bagenalstown,42,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,Bilboa,2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Carlow,Hacketstown,4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Carlow,Myshall,4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,Rathvilly,10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Carlow,"Moneybeg, Bagenalstown",24,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,"Paulville, Tullow (SRD)",1,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Carlow,"Drumin, St. Mullins (SRD)",1,*N/A,,,,,Q4-2017,
