Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
71,No,Carlow,Ard Bhaile,Tullow Road,Rathvilly,04/686,24/04/2005,23/04/2010,58,0,0,0,0,58,10,2,0,1,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12,0,12,12,12,0,0,0,0,16/08/2017,No,,10,0
74,No,Carlow,Ballyknockan Manor,Kilkenny Road,Leighlinbridge,03/430,14/12/2004,13/12/2009,10,32,18,0,0,60,31,1,0,0,0,0,0,9,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,32,0,32,32,32,4,1,0,3,18/08/2017,No,,0,0
79,No,Carlow,Castlerock,Carrigduff,Bunclody,03/479,01/10/2003,31/10/2008,11,24,20,8,4,67,54,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,6,0,0,60,0,0,60,0,60,0,60,60,60,8,5,0,3,16/08/2017,No,,30,6
82,No,Carlow,Fairgreen Crescent,Tinahely Road,Hackettstown,06/157,06/12/2006,05/12/2011,0,8,0,0,0,8,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,6,6,6,2,2,0,0,16/08/2017,No,,4,0
83,No,Carlow,Friars Lough,Leighlinbridge,Leighlinbridge,04/506,25/10/2005,26/10/2010,31,26,0,0,0,57,19,1,0,5,0,0,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,18,18,18,2,2,0,0,18/08/2017,No,,6,0
84,No,Carlow,Glendale,Shillelagh Road,Tullow,03/572,03/11/2003,02/11/2008,10,42,98,0,0,150,29,0,0,63,0,0,0,0,0,48,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,0,29,0,29,29,29,6,2,0,4,16/08/2017,No,,0,0
85,No,Carlow,Gort na Greine,Ballinabrannagh,Carlow,06/429,02/11/2006,01/11/2011,42,24,18,0,0,84,42,0,0,2,0,0,0,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44,0,42,42,42,5,3,1,0,18/08/2017,No,,10,0
89,No,Carlow,Laragh Beg,Ballon,Ballon,04/762,20/02/2006,19/02/2011,1,22,12,0,0,35,13,0,0,0,0,1,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,12,12,12,1,1,0,0,16/08/2017,No,,13,0
96,No,Carlow,Riverfield Court,Myshall Road,Fenagh,"08/348, 06/1164",06/06/2007,05/06/2012,20,0,0,0,0,20,4,1,0,1,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,4,0,2,2,2,0,0,0,0,18/08/2017,No,,4,0
103,No,Carlow,Royal Oak Close,Royal Oak,Bagenalstown,05/225,31/10/2006,30/10/2011,10,0,0,0,0,10,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,4,4,1,1,0,0,18/08/2017,No,,1,0
105,No,Carlow,Slievebawn Way ,Fenagh Road,Myshall,"04/158, 07/478 & 10/352",16/11/2004,15/11/2009,1,18,4,0,0,23,6,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,7,7,7,7,0,0,0,2,16/08/2017,No,,0,0
111,No,Carlow,The Village,Slaneyquarter,Tullow,Jun-18,27/02/2007,26/02/2012,10,0,0,0,0,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,9,9,0,0,0,0,16/08/2017,No,,0,0
119,No,Carlow,Brownshill Road,Brownshill Road,Carlow,PD3698,,13/06/2005,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/08/2017,Yes,1,0,0
124,No,Carlow,Cluain Bui,Mortarstown,Carlow,06/882,16/01/2007,15/01/2012,28,102,0,0,0,130,17,1,0,0,0,0,0,4,0,2,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,18,0,18,18,18,2,2,0,0,18/08/2017,No,,17,0
127,No,Carlow,Lime Grove,Palatine,Carlow,05/267 & 11/49,27/02/2006,26/02/2016,20,54,0,0,0,74,29,0,0,4,0,2,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,29,0,29,29,29,1,1,1,0,18/08/2017,No,,6,0
130,No,Carlow,Rivercourt,Tullow Road,Carlow,Apr-38,18/03/2005,17/03/2010,0,100,20,12,0,132,31,5,0,4,0,0,0,16,0,0,0,64,11,1,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,36,12,48,48,48,2,2,0,0,18/08/2017,No,,10,0
87,No,Carlow,Abbey Close,Templeowen,Tullow,06/276,01/09/2006,01/08/2011,4,20,6,0,0,30,27,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,30,0,30,0,16,16,16,3,2,0,1,16/08/2017,No,,0,0
