ESB CONNECTIONS BY  SECTOR - Quarterly,,,,
Year and Quarter,"Social Housing - 
Local Authority Housing","Social Housing - 
Voluntary & Co-operative Housing",Private Houses,Total
1970Q1,"1,323",..,"2,471","3,794"
1970Q2,529,..,"2,897","3,426"
1970Q3,942,..,"2,403","3,345"
1970Q4,973,..,"2,349","3,322"
1971Q1,"1,431",..,"2,484","3,915"
1971Q2,882,..,"2,554","3,436"
1971Q3,996,..,"2,720","3,716"
1971Q4,"1,480",..,"2,833","4,313"
1972Q1,"1,748",..,"3,187","4,935"
1972Q2,"1,240",..,"4,527","5,767"
1972Q3,"1,323",..,"3,430","4,753"
1972Q4,"1,591",..,"4,526","6,117"
1973Q1,"1,630",..,"4,136","5,766"
1973Q2,"1,278",..,"3,595","4,873"
1973Q3,"1,550",..,"6,201","7,751"
1973Q4,"1,614",..,"4,656","6,270"
1974Q1,"2,097",..,"5,237","7,334"
1974Q2,955,..,"3,890","4,845"
1974Q3,"1,076",..,"5,552","6,628"
1974Q4,"2,618",..,"4,831","7,449"
1975Q1,"2,669",..,"5,712","8,381"
1975Q2,"1,288",..,"3,926","5,214"
1975Q3,"1,950",..,"4,417","6,367"
1975Q4,"2,887",..,"4,043","6,930"
1976Q1,"1,506",..,"4,928","6,434"
1976Q2,"1,930",..,"4,035","5,965"
1976Q3,"1,438",..,"3,635","5,073"
1976Q4,"2,389",..,"4,139","6,528"
1977Q1,"1,171",..,"4,502","5,673"
1977Q2,"1,567",..,"3,180","4,747"
1977Q3,"1,444",..,"6,444","7,888"
1977Q4,"2,151",..,"4,089","6,240"
1978Q1,906,..,"5,777","6,683"
1978Q2,"1,399",..,"4,772","6,171"
1978Q3,"1,637",..,"4,588","6,225"
1978Q4,"2,131",..,"4,234","6,365"
1979Q1,740,..,"7,276","8,016"
1979Q2,"1,361",..,"4,513","5,874"
1979Q3,"1,386",..,"4,284","5,670"
1979Q4,"2,727",..,"4,257","6,984"
1980Q1,711,..,"7,738","8,449"
1980Q2,"1,188",..,"6,001","7,189"
1980Q3,"1,342",..,"4,786","6,128"
1980Q4,"2,743",..,"3,276","6,019"
1981Q1,686,..,"6,642","7,328"
1981Q2,"1,249",..,"4,710","5,959"
1981Q3,"1,588",..,"5,570","7,158"
1981Q4,"2,158",..,"6,314","8,472"
1982Q1,"1,090",..,"5,981","7,071"
1982Q2,"1,562",..,"4,883","6,445"
1982Q3,"1,347",..,"5,354","6,701"
1982Q4,"1,687",..,"4,894","6,581"
1983Q1,"1,300",..,"4,859","6,159"
1983Q2,"1,144",..,"5,862","7,006"
1983Q3,"1,644",..,"4,663","6,307"
1983Q4,"2,102",..,"4,564","6,666"
1984Q1,"1,196",..,"5,129","6,325"
1984Q2,"1,535",..,"4,671","6,206"
1984Q3,"1,365",..,"4,947","6,312"
1984Q4,"2,906",..,"3,195","6,101"
1985Q1,"1,240",..,"4,912","6,152"
1985Q2,"1,575",..,"5,153","6,728"
1985Q3,"1,308",..,"3,895","5,203"
1985Q4,"2,400",..,"3,465","5,865"
1986Q1,"1,262",..,"5,186","6,448"
1986Q2,"1,310",..,"3,719","5,029"
1986Q3,"1,330",..,"4,538","5,868"
1986Q4,"1,614",..,"3,721","5,335"
1987Q1,702,..,"4,144","4,846"
1987Q2,"1,099",..,"3,363","4,462"
1987Q3,484,..,"4,391","4,875"
1987Q4,789,..,"3,478","4,267"
1988Q1,432,..,"3,682","4,114"
1988Q2,295,..,"3,296","3,591"
1988Q3,380,..,"3,747","4,127"
1988Q4,343,..,"3,479","3,822"
1989Q1,109,..,"3,554","3,663"
1989Q2,220,..,"3,983","4,203"
1989Q3,190,..,"5,277","5,467"
1989Q4,249,..,"4,486","4,735"
1990Q1,76,..,"4,296","4,372"
1990Q2,190,..,"4,477","4,667"
1990Q3,302,..,"5,011","5,313"
1990Q4,435,..,"4,752","5,187"
