No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
1,CALF CONSTRUCTION TURNKEY,Carlow,"Sleaty Street, Graigcullen, Carlow",26,Cluid Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
2,CALF CONSTRUCTION TURNKEY,Carlow,"Barrett Street, Bagnalstown",10,Tintean Housing Association,,,,,Q2-2017,
3,CAS CONSTRUCTION,Carlow,"Mill Race Court, Carlow Town",14,Cluid Housing Association,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
4,CAS CONSTRUCTION,Carlow,"Royal Oak Road, Bagenalstown",6,Respond!,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
5,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,,,,,Q4-2016
6,SHIP CONSTRUCTION,Carlow,Bagenalstown,42,N/A,,,,,Q4-2017,
7,SHIP CONSTRUCTION,Carlow,"Moneybeg, Bagenalstown",24,N/A,,,,,,Q3-2017
8,SHIP CONSTRUCTION,Carlow,"Dublin Road, Tullow",21,N/A,,,,,Q4-2017,
9,SHIP CONSTRUCTION,Carlow,"Ard na Greine, Tullow",16,N/A,,,,,Q4-2017,
10,SHIP CONSTRUCTION,Carlow,Rathvilly,10,N/A,,,,,,Q2-2017
11,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,N/A,,,,,Q3-2017,
12,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,N/A,,,,,Q1-2016,
13,SHIP CONSTRUCTION,Carlow,Hacketstown,4,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
14,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,N/A,,,,,,Q4-2017
15,SHIP CONSTRUCTION,Carlow,Myshall,4,N/A,,,,,Q2-2017,
16,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,N/A,,,,,,Q3-2017
17,SHIP CONSTRUCTION,Carlow,Bilboa,2,N/A,,,,,Q4-2017,
18,SHIP CONSTRUCTION,Carlow,Tullow (SRD),1,N/A,,,,,,Q3-2017
19,SHIP CONSTRUCTION,Carlow,Rathvilly (SRD),1,N/A,,,,,Q4-2017,
20,SHIP CONSTRUCTION TURNKEY,Carlow,"Tullow Road, Carlow",63,N/A,,,,,Q4-2017,
21,CALF CONSTRUCTION TURNKEY,Cavan,"Cluain Dara, Kingscourt",16,Cluid Housing Association,,,,,,Q4-2016
22,CALF CONSTRUCTION TURNKEY,Cavan,"Drumalee Manor, Drumalee Phase 2",7,Túath Housing Association,,,,,Q1-2017,
23,CALF CONSTRUCTION TURNKEY,Cavan,"Drumalee Manor, Drumalee Phase 1",4,Túath Housing Association,,,,,Q1-2017,
24,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6)",8,N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
25,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,N/A,,,,,Q4-2017,
26,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 2),4,N/A,,,,,Q2-2017,
27,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 1),2,N/A,,,,,,Q2-2017
28,SHIP CONSTRUCTION,Cavan,"Clones Road, Butlersbridge",2,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
29,CALF CONSTRUCTION,Clare,"Bruachlan, Westbury",22,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2016,,
30,CALF CONSTRUCTION TURNKEY,Clare,"Lios Anama, Sixmilebridge",28,Co operative Ireland,,,,,,Q4-2017
31,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2)",10,Cuan an Chlair Ltd,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
32,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,,,,,Q4-2016
33,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
34,SHIP CONSTRUCTION,Clare,"Tullyglass, Shannon",21,N/A,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
35,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
36,SHIP CONSTRUCTION,Clare,Feakle,11,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
37,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
38,SHIP CONSTRUCTION,Clare,"Roslevan, Ennis",8,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
39,SHIP CONSTRUCTION TURNKEY,Clare,"Haggard View, Clarecastle",4,Anvers Housing Association Ltd,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
40,SHIP CONSTRUCTION TURNKEY,Clare,"River View, School Road, Corofin",2,N/A,,,,,Q4-2017,
41,CALF CONSTRUCTION,Cork City,"Mile Stream, Shanakiel, Cork City ",50,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017 ,,
42,CALF CONSTRUCTION,Cork City,"124 Lr. Glanmire Road & 2 Breamer, Cork",6,Galtan Ltd,,,,,Q1-2017,
43,CALF CONSTRUCTION TURNKEY,Cork City,"the Meadows, Knopckacullen Ease, Gurranabraher, Cork",52,Túath Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
44,CALF CONSTRUCTION TURNKEY,Cork City,"Millfield Cottages, Blackpool",18,Respond!,,,,,Q1-2017,
45,CALF CONSTRUCTION TURNKEY,Cork City,"Leitrim Street, Cork City",18,Cluid Housing Association,,,,Scheme approved for CALF funding Q3-2016,,
46,CALF CONSTRUCTION TURNKEY,Cork City,"Popes Road, Blackpool",7,Cluid Housing Association,,,,,Q1-2017,
47,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",33,Good Shepherd Services Ltd,,"Stage 2 approved in Q1-2016, full design/tender being prepared.",,,,
48,CAS CONSTRUCTION,Cork City,Thomas Davis Street (Phase 1),28,Respond!,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
49,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond!,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
50,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond!,,,,,Q4-2016,
51,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community : Cork Simon,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
52,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,,,,Q2-2017,
53,REGENERATION,Cork City,Phase 2 A Knocknaheeny,47,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
54,REGENERATION,Cork City,Phase 1 C Knocknaheeny,41,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
55,REGENERATION,Cork City,Phase 2 B Knocknaheeny,36,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
56,REGENERATION,Cork City,Phase 1 B Knocknaheeny,29,N/A,,,,,,Q4-2017
57,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",65,N/A,,,,,Q4-2016,
58,SHIP CONSTRUCTION,Cork City,Boyces Street,51,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
59,SHIP CONSTRUCTION,Cork City,Gerald Griffin Street,41,N/A,,,,,Q3-2017,
60,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,N/A,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
61,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
62,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
63,SHIP CONSTRUCTION,Cork City,Cappanoole,2,N/A,,,,,,Q4-2016
64,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,N/A,,,,,,Q3-2016
65,SHIP CONSTRUCTION TURNKEY,Cork City,Whites Street,43,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
66,SHIP CONSTRUCTION TURNKEY,Cork City,Church Road,43,N/A,,,,,Q2-2017,
67,SHIP CONSTRUCTION TURNKEY,Cork City,Barack Street,32,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
68,SHIP CONSTRUCTION TURNKEY,Cork City,Arus Mhuire,30,N/A,,,,,Q4-2017,
69,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,N/A,,,,,,Q4-2016
70,SHIP CONSTRUCTION TURNKEY,Cork City,Woods Street,16,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
71,SHIP CONSTRUCTION TURNKEY,Cork City,High Street,9,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
72,SHIP CONSTRUCTION TURNKEY,Cork City,Faranree,5,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
73,SHIP CONSTRUCTION TURNKEY,Cork City,"Ard Aoibhinn, Banduff, Mayfield",5,N/A,,,,,Q3-2017,
74,SHIP CONSTRUCTION TURNKEY,Cork City,1-4 Marble Lane,4,N/A,,,,,,Q4-2017
75,SHIP CONSTRUCTION TURNKEY,Cork City,Tramore Road,4,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
76,SHIP CONSTRUCTION TURNKEY,Cork City,Corcorans Quay,3,N/A,,,,"Stage 4 approved in Q1-2017, the scheme is now fully approved.",,
77,CALF CONSTRUCTION,Cork County,"Cappagh, Ballynacubby, Kinsale, Co. Cork",40,Cluid Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
78,CALF CONSTRUCTION,Cork County,Firgrove Harrisons Lane Charleville,6,Co operative Ireland,,,,,,Q4-2017
79,CALF CONSTRUCTION ,Cork County,"Church View, Enniskeane",12,Cluid Housing Association,,,,,Q1-2017,
80,CALF CONSTRUCTION TURNKEY,Cork County,"Tanners Field, Bandon, Co Cork ",11,Túath Housing Association Ltd,,,,Scheme approved for CALF Funding Q4-2017,,
81,CALF CONSTRUCTION TURNKEY,Cork County,"College Manor, Cobh",10,Túath Housing Association,,,,,,Q4-2016
82,CALF CONSTRUCTION TURNKEY,Cork County,"Ticknock, Cobh",8,Respond!,,,,,Q1-2017,
83,CALF CONSTRUCTION TURNKEY,Cork County,"Beach Road, Passage West",3,Cluid Housing Association,,,,,,Q4-2017
84,CAS CONSTRUCTION,Cork County,"Fellowship House, Togher",31,Tabor Lodge Addiction ? Housing Services Ltd,,,,,Q1-2017,
85,CAS CONSTRUCTION,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
86,CAS CONSTRUCTION,Cork County,"Townlands, Rosscarbery",9,Rosscarbery Housing Association Ltd,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
87,CAS CONSTRUCTION,Cork County,"Avenue House, Bandon",9,Bandon Geriatric ? Community Council,,,,,Q3-2016,
88,CAS CONSTRUCTION,Cork County,"Church View, Love Lane, Charleville",6,Charleville Care Project Ltd,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
89,CAS CONSTRUCTION,Cork County,"St. Francis Court, Youghal",4,Respond!,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
90,CAS CONSTRUCTION,Cork County,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teoranta,,,,,Q4-2017,
91,SHIP CONSTRUCTION,Cork County,"Poulavone, Ballincollig",57,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
92,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",56,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
93,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline",49,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
94,SHIP CONSTRUCTION,Cork County,"Station Road, Blarney",18,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
95,SHIP CONSTRUCTION,Cork County,"Bluepool, Kanturk",16,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
96,SHIP CONSTRUCTION,Cork County,"Ard Na Greine, Cortmacsherry",15,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
97,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
98,SHIP CONSTRUCTION,Cork County,"Oliver Plunkett Hill, Fermoy",10,N/A,,,,,,Q2-2017
99,SHIP CONSTRUCTION,Cork County,"Tower View, Cloyne, East Cork",9,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
100,SHIP CONSTRUCTION,Cork County,"Fairfield, Macroom",7,N/A,,,,,Q4-2017,
101,SHIP CONSTRUCTION,Cork County,"Model Village, Dripsey",6,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
102,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
103,SHIP CONSTRUCTION,Cork County,"Droum, Castletownbere",2,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
104,SHIP CONSTRUCTION,Cork County,Castle Treasure Grove,1,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
105,SHIP CONSTRUCTION,Cork County,"Newtown, Bantry",1,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
106,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",52,N/A,,,,,Q4-2017,
107,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,N/A,,,,,,Q4-2017
108,SHIP CONSTRUCTION TURNKEY,Cork County,Bantry,30,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
109,SHIP CONSTRUCTION TURNKEY,Cork County,"CulAird, Carraigtwohill",29,N/A,,,,,,Q4-2017
